api_version,kind,status,name,name_hash,signature,source_owner,compatibility
88.3,Function,-,LL_RTC_ExitInitMode,0xe9bd8897,ErrorStatus LL_RTC_ExitInitMode(RTC_TypeDef*),lib/stm32wb_hal/Inc/stm32wbxx_ll_rtc.h,disabled
88.3,Function,+,LL_RTC_Init,0x829d5f58,"ErrorStatus LL_RTC_Init(RTC_TypeDef*, LL_RTC_InitTypeDef*)",lib/stm32wb_hal/Inc/stm32wbxx_ll_rtc.h,supported
88.3,Function,-,LL_RTC_StructInit,0x04d8459d,void LL_RTC_StructInit(LL_RTC_InitTypeDef*),lib/stm32wb_hal/Inc/stm32wbxx_ll_rtc.h,disabled
88.3,Function,-,LL_RTC_TIME_Init,0x1dcbb3a6,"ErrorStatus LL_RTC_TIME_Init(RTC_TypeDef*, uint32_t, LL_RTC_TimeTypeDef*)",lib/stm32wb_hal/Inc/stm32wbxx_ll_rtc.h,disabled
88.3,Function,-,LL_RTC_TIME_StructInit,0x5ab41c6b,void LL_RTC_TIME_StructInit(LL_RTC_TimeTypeDef*),lib/stm32wb_hal/Inc/stm32wbxx_ll_rtc.h,disabled
88.3,Function,-,LL_RTC_WaitForSynchro,0x89381466,ErrorStatus LL_RTC_WaitForSynchro(RTC_TypeDef*),lib/stm32wb_hal/Inc/stm32wbxx_ll_rtc.h,disabled
88.3,Function,-,LL_SPI_DeInit,0x4eb82064,ErrorStatus LL_SPI_DeInit(SPI_TypeDef*),lib/stm32wb_hal/Inc/stm32wbxx_ll_spi.h,disabled
88.3,Function,+,LL_SPI_Init,0x48f534fb,"ErrorStatus LL_SPI_Init(SPI_TypeDef*, LL_SPI_InitTypeDef*)",lib/stm32wb_hal/Inc/stm32wbxx_ll_spi.h,supported
88.3,Function,-,LL_SPI_StructInit,0x28508980,void LL_SPI_StructInit(LL_SPI_InitTypeDef*),lib/stm32wb_hal/Inc/stm32wbxx_ll_spi.h,disabled
88.3,Function,-,LL_SetFlashLatency,0xb67a45e6,ErrorStatus LL_SetFlashLatency(uint32_t),lib/stm32wb_hal/Inc/stm32wbxx_ll_utils.h,disabled
88.3,Function,+,LL_SetSystemCoreClock,0x97ea5802,void LL_SetSystemCoreClock(uint32_t),lib/stm32wb_hal/Inc/stm32wbxx_ll_utils.h,supported
88.3,Function,-,LL_TIM_BDTR_Init,0x42d57704,"ErrorStatus LL_TIM_BDTR_Init(TIM_TypeDef*, const LL_TIM_BDTR_InitTypeDef*)",lib/stm32wb_hal/Inc/stm32wbxx_ll_tim.h,disabled
88.3,Function,-,LL_TIM_BDTR_StructInit,0x42a66e49,void LL_TIM_BDTR_StructInit(LL_TIM_BDTR_InitTypeDef*),lib/stm32wb_hal/Inc/stm32wbxx_ll_tim.h,disabled
88.3,Function,+,LL_TIM_DeInit,0xd462ee02,ErrorStatus LL_TIM_DeInit(TIM_TypeDef*),lib/stm32wb_hal/Inc/stm32wbxx_ll_tim.h,supported
88.3,Function,-,LL_TIM_ENCODER_Init,0xd552ff38,"ErrorStatus LL_TIM_ENCODER_Init(TIM_TypeDef*, const LL_TIM_ENCODER_InitTypeDef*)",lib/stm32wb_hal/Inc/stm32wbxx_ll_tim.h,disabled
88.3,Function,-,LL_TIM_ENCODER_StructInit,0x91fe4d7d,void LL_TIM_ENCODER_StructInit(LL_TIM_ENCODER_InitTypeDef*),lib/stm32wb_hal/Inc/stm32wbxx_ll_tim.h,disabled
88.3,Function,-,LL_TIM_HALLSENSOR_Init,0xce3f2173,"ErrorStatus LL_TIM_HALLSENSOR_Init(TIM_TypeDef*, const LL_TIM_HALLSENSOR_InitTypeDef*)",lib/stm32wb_hal/Inc/stm32wbxx_ll_tim.h,disabled
88.3,Function,-,LL_TIM_HALLSENSOR_StructInit,0x85a7eff8,void LL_TIM_HALLSENSOR_StructInit(LL_TIM_HALLSENSOR_InitTypeDef*),lib/stm32wb_hal/Inc/stm32wbxx_ll_tim.h,disabled
88.3,Function,-,LL_TIM_IC_Init,0x93ce5e04,"ErrorStatus LL_TIM_IC_Init(TIM_TypeDef*, uint32_t, const LL_TIM_IC_InitTypeDef*)",lib/stm32wb_hal/Inc/stm32wbxx_ll_tim.h,disabled
88.3,Function,-,LL_TIM_IC_StructInit,0x3a709549,void LL_TIM_IC_StructInit(LL_TIM_IC_InitTypeDef*),lib/stm32wb_hal/Inc/stm32wbxx_ll_tim.h,disabled
88.3,Function,+,LL_TIM_Init,0x23b40319,"ErrorStatus LL_TIM_Init(TIM_TypeDef*, const LL_TIM_InitTypeDef*)",lib/stm32wb_hal/Inc/stm32wbxx_ll_tim.h,supported
88.3,Function,+,LL_TIM_OC_Init,0x61abca8a,"ErrorStatus LL_TIM_OC_Init(TIM_TypeDef*, uint32_t, const LL_TIM_OC_InitTypeDef*)",lib/stm32wb_hal/Inc/stm32wbxx_ll_tim.h,supported
88.3,Function,-,LL_TIM_OC_StructInit,0x16aace4f,void LL_TIM_OC_StructInit(LL_TIM_OC_InitTypeDef*),lib/stm32wb_hal/Inc/stm32wbxx_ll_tim.h,disabled
88.3,Function,-,LL_TIM_StructInit,0xfbc4f61e,void LL_TIM_StructInit(LL_TIM_InitTypeDef*),lib/stm32wb_hal/Inc/stm32wbxx_ll_tim.h,disabled
88.3,Function,-,LL_USART_ClockInit,0x2918fc2a,"ErrorStatus LL_USART_ClockInit(USART_TypeDef*, const LL_USART_ClockInitTypeDef*)",lib/stm32wb_hal/Inc/stm32wbxx_ll_usart.h,disabled
88.3,Function,-,LL_USART_ClockStructInit,0xfddeb7ef,void LL_USART_ClockStructInit(LL_USART_ClockInitTypeDef*),lib/stm32wb_hal/Inc/stm32wbxx_ll_usart.h,disabled
88.3,Function,-,LL_USART_DeInit,0xae7a0007,ErrorStatus LL_USART_DeInit(const USART_TypeDef*),lib/stm32wb_hal/Inc/stm32wbxx_ll_usart.h,disabled
88.3,Function,+,LL_USART_Init,0x8e64cfde,"ErrorStatus LL_USART_Init(USART_TypeDef*, const LL_USART_InitTypeDef*)",lib/stm32wb_hal/Inc/stm32wbxx_ll_usart.h,supported
88.3,Function,-,LL_USART_StructInit,0x4f6f82a3,void LL_USART_StructInit(LL_USART_InitTypeDef*),lib/stm32wb_hal/Inc/stm32wbxx_ll_usart.h,disabled
88.3,Function,-,LL_mDelay,0x3ebfded8,void LL_mDelay(uint32_t),lib/stm32wb_hal/Inc/stm32wbxx_ll_cortex.h;lib/stm32wb_hal/Inc/stm32wbxx_ll_utils.h,disabled
88.3,Function,-,Osal_MemCmp,0xfe8be8d2,"int Osal_MemCmp(const void*, const void*, unsigned int)",@sdk/toolchain-or-transitive-runtime,disabled
88.3,Function,-,Osal_MemCpy,0xfe8be93e,"void* Osal_MemCpy(void*, const void*, unsigned int)",@sdk/toolchain-or-transitive-runtime,disabled
88.3,Function,-,Osal_MemSet,0xfe8c2bde,"void* Osal_MemSet(void*, int, unsigned int)",@sdk/toolchain-or-transitive-runtime,disabled
88.3,Function,-,SystemCoreClockUpdate,0x26f66102,void SystemCoreClockUpdate(),@sdk/toolchain-or-transitive-runtime,disabled
88.3,Function,-,SystemInit,0x8a59defe,void SystemInit(),@sdk/toolchain-or-transitive-runtime,disabled
88.3,Function,-,_Exit,0x0eddfa9e,void _Exit(int),@sdk/toolchain-or-transitive-runtime,disabled
88.3,Function,+,__aeabi_f2d,0x58e924d0,double __aeabi_f2d(float),targets/f7/platform_specific/intrinsic_export.h,supported
88.3,Function,+,__aeabi_uldivmod,0x81ac83b8,"void* __aeabi_uldivmod(uint64_t, uint64_t)",targets/f7/platform_specific/intrinsic_export.h,supported
88.3,Function,-,__assert,0xa3a40875,"void __assert(const char*, int, const char*)",@sdk/toolchain-or-transitive-runtime,disabled
88.3,Function,+,__assert_func,0x4b45a060,"void __assert_func(const char*, int, const char*, const char*)",@sdk/toolchain-or-transitive-runtime,supported
88.3,Function,+,__clear_cache,0xf92892fd,"void __clear_cache(void*, void*)",targets/f7/platform_specific/intrinsic_export.h,supported
88.3,Function,+,__cxa_pure_virtual,0xa6056800,void __cxa_pure_virtual(),targets/f7/platform_specific/cxx_virtual_stub.h,supported
88.3,Function,-,__eprintf,0x44fe989b,"void __eprintf(const char*, const char*, unsigned int, const char*)",@sdk/toolchain-or-transitive-runtime,disabled
88.3,Function,+,__errno,0x799a5e69,int* __errno(),@sdk/toolchain-or-transitive-runtime,supported
88.3,Function,-,__fpclassifyd,0xea7358bb,int __fpclassifyd(double),@sdk/toolchain-or-transitive-runtime,disabled
88.3,Function,-,__fpclassifyf,0xea7358bd,int __fpclassifyf(float),@sdk/toolchain-or-transitive-runtime,disabled
88.3,Function,+,__furi_crash_implementation,0x3e1255ee,void __furi_crash_implementation(),@sdk/toolchain-or-transitive-runtime,supported
88.3,Function,+,__furi_critical_enter,0xd73f9820,__FuriCriticalInfo __furi_critical_enter(),@sdk/toolchain-or-transitive-runtime,supported
88.3,Function,+,__furi_critical_exit,0xc0b4831c,void __furi_critical_exit(__FuriCriticalInfo),@sdk/toolchain-or-transitive-runtime,supported
88.3,Function,+,__furi_halt_implementation,0x27a67566,void __furi_halt_implementation(),@sdk/toolchain-or-transitive-runtime,supported
88.3,Function,-,__getdelim,0x72df7f8e,"ssize_t __getdelim(char**, size_t*, int, FILE*)",@sdk/toolchain-or-transitive-runtime,disabled
